102	97	96	101	99	103	100	98	97	96	104	98	99	99	101	95	100	94	102	101
101	96	98	100	99	102	101	99	98	97	104	97	99	100	102	96	98	95	101	100
103	98	97	102	99	103	99	100	97	95	103	99	100	98	101	97	101	94	103	101
104	97	96	103	100	104	99	98	98	96	105	99	100	99	102	97	102	95	101	102
102	96	97	102	98	103	98	99	97	95	103	98	98	100	100	96	100	94	102	100
101	95	98	100	97	102	97	99	96	94	103	97	99	99	101	95	99	93	101	100
105	99	97	103	100	104	99	101	98	95	104	99	101	100	103	98	102	96	104	102
104	98	98	101	99	103	101	100	99	96	105	100	100	99	102	97	101	95	103	102
103	99	97	102	100	104	99	101	98	94	105	99	99	101	102	98	100	96	104	103
104	97	96	103	98	103	100	99	97	95	105	98	100	100	103	97	101	94	103	102
103	98	97	102	99	104	100	100	98	96	104	98	99	100	102	96	101	95	103	101
102	96	97	101	98	103	99	99	97	94	104	97	99	99	102	95	100	94	102	100
